record_id,calculated_metric_ui_display,calculated_metric_unit,config_id,config_name,created,created_by,id_start,last_modified_by,last_modified_time,level_description_from_recommendations_v2,overview_from_recommendations_v2,recommendations_v2,schema_calculated_metrics,schema_daily_limit,schema_progress_direction,schema_required_days,schema_target,schema_total_days,schema_tracked_metrics,schema_units,scoring_method,title_from_recommendations_v2,ui_display_from_schema_tracked_metrics,units_from_schema_tracked_metrics
recupGiYbvfw5ZAah,Servings,recZBMdCzE5sRxqOQ,REC0001.2-PROPORTIONAL,Proportional Achievement - dietary_fiber_sources,2025-09-23T00:42:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",PROPORTIONAL,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:42:55.000Z,Include two distinct sources of fiber each day,"Fiber supports metabolic health, digestive function, and cardiovascular resilience. It helps the body eliminate excess cholesterol, regulates blood sugar, and promotes a healthier gut microbiome. Found in foods like oats, beans, flaxseed, and psyllium, soluble fiber is a foundational component of a longevity-supportive diet.",recnvgez95waQbIX9,rec7bo1iZqtG3vVgn,,buildup,7,2,7,rec0hOpS2ovZkzDPW,serving,reck6MaFW6OOx5SJ2,Increase Fiber Intake,Servings,recZBMdCzE5sRxqOQ
recVj9wa8QIA3KJYS,Grams,recBuF3n8IQ2v0Io8,REC0001.3 (i)-PROPORTIONAL,Proportional Achievement - dietary_fiber_grams,2025-09-23T00:42:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",PROPORTIONAL,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:42:59.000Z,Reach 25g of fiber daily with consistent adherence,"Fiber supports metabolic health, digestive function, and cardiovascular resilience. It helps the body eliminate excess cholesterol, regulates blood sugar, and promotes a healthier gut microbiome. Found in foods like oats, beans, flaxseed, and psyllium, soluble fiber is a foundational component of a longevity-supportive diet.",recyzL1fyLSDVCg58,rec3IuWLP2JxVDMvc,,buildup,7,25,7,recdH5PDRI9HZlWNF,gram,reck6MaFW6OOx5SJ2,Increase Fiber Intake,Grams,recBuF3n8IQ2v0Io8
recXlD0eVvP6yY5tn,Grams,recBuF3n8IQ2v0Io8,REC0001.3 (ii)-PROPORTIONAL,Proportional Achievement - dietary_fiber_grams,2025-09-23T00:42:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",PROPORTIONAL,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:42:59.000Z,Reach 38g of fiber daily with consistent adherence,"Fiber supports metabolic health, digestive function, and cardiovascular resilience. It helps the body eliminate excess cholesterol, regulates blood sugar, and promotes a healthier gut microbiome. Found in foods like oats, beans, flaxseed, and psyllium, soluble fiber is a foundational component of a longevity-supportive diet.",recQGhqpbZNfyn2G8,rec3IuWLP2JxVDMvc,,buildup,7,38,7,recdH5PDRI9HZlWNF,gram,reck6MaFW6OOx5SJ2,Increase Fiber Intake,Grams,recBuF3n8IQ2v0Io8
recfy5CnBacmgvO5L,Grams,recBuF3n8IQ2v0Io8,REC0001.3 (iii)-PROPORTIONAL,Proportional Achievement - dietary_fiber_grams,2025-09-23T00:42:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",PROPORTIONAL,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:42:59.000Z,Reach 21g of fiber daily with consistent adherence,"Fiber supports metabolic health, digestive function, and cardiovascular resilience. It helps the body eliminate excess cholesterol, regulates blood sugar, and promotes a healthier gut microbiome. Found in foods like oats, beans, flaxseed, and psyllium, soluble fiber is a foundational component of a longevity-supportive diet.",recDzEG37NloR565F,rec3IuWLP2JxVDMvc,,buildup,7,21,7,recdH5PDRI9HZlWNF,gram,reck6MaFW6OOx5SJ2,Increase Fiber Intake,Grams,recBuF3n8IQ2v0Io8
reckfiBYyh17qezTD,Grams,recBuF3n8IQ2v0Io8,REC0001.3 (iv)-PROPORTIONAL,Proportional Achievement - dietary_fiber_grams,2025-09-23T00:42:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",PROPORTIONAL,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:42:59.000Z,Reach 30g of fiber daily with consistent adherence,"Fiber supports metabolic health, digestive function, and cardiovascular resilience. It helps the body eliminate excess cholesterol, regulates blood sugar, and promotes a healthier gut microbiome. Found in foods like oats, beans, flaxseed, and psyllium, soluble fiber is a foundational component of a longevity-supportive diet.",reczWqNcJQXghlR0U,rec3IuWLP2JxVDMvc,,buildup,7,30,7,recdH5PDRI9HZlWNF,gram,reck6MaFW6OOx5SJ2,Increase Fiber Intake,Grams,recBuF3n8IQ2v0Io8
recP0nDW6Lwbp4zcB,Minutes,recLNmY0jLZKxr5fs,REC0003.1-PROPORTIONAL,Proportional Achievement - daily_zone2_cardio_duration,2025-09-23T00:42:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",PROPORTIONAL,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:42:59.000Z,"Complete at least 90 minutes per week of Zone 2 cardio spread across walks, cycling, light jogging, or other steady aerobic activities.","Zone 2 cardio involves sustained, moderate-intensity aerobic exercise that keeps your heart rate within a range that maximizes fat oxidation and mitochondrial efficiency. Training in this zone improves metabolic flexibility, insulin sensitivity, and cardiovascular resilience. It's foundational for longevity, endurance, and energy metabolism. You should be able to maintain conversation, but feel like you’re working.",recC3HYOpjcuSTlGZ,recorhKdkLw48IZuk,,buildup,1,90,7,rec0rZ7bwDGvhJLxh,minutes,reck6MaFW6OOx5SJ2,Incorporate Zone 2 Cardio for Mitochondrial and Cardiovascular Health,Time of Day,recv2GuhbmM9UdNDp
reciZamJf9rMjRPGN,Minutes,recLNmY0jLZKxr5fs,REC0003.2-PROPORTIONAL,Proportional Achievement - daily_zone2_cardio_duration,2025-09-23T00:42:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",PROPORTIONAL,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:42:59.000Z,"Complete at least 120 minutes per week of Zone 2 cardio spread across walks, cycling, light jogging, or other steady aerobic activities.

Note: Daily contributions are capped at 90 minutes for progress tracking","Zone 2 cardio involves sustained, moderate-intensity aerobic exercise that keeps your heart rate within a range that maximizes fat oxidation and mitochondrial efficiency. Training in this zone improves metabolic flexibility, insulin sensitivity, and cardiovascular resilience. It's foundational for longevity, endurance, and energy metabolism. You should be able to maintain conversation, but feel like you’re working.",recuKwwqbOncMVjuX,recorhKdkLw48IZuk,90,buildup,2,120,7,rec0rZ7bwDGvhJLxh,minutes,reck6MaFW6OOx5SJ2,Incorporate Zone 2 Cardio for Mitochondrial and Cardiovascular Health,Time of Day,recv2GuhbmM9UdNDp
recW4dQJuQ8Ll6IBl,Minutes,recLNmY0jLZKxr5fs,REC0003.3-PROPORTIONAL,Proportional Achievement - daily_zone2_cardio_duration,2025-09-23T00:42:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",PROPORTIONAL,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:42:59.000Z,"Complete at least 180 minutes per week of Zone 2 cardio spread across walks, cycling, light jogging, or other steady aerobic activities.

Note: Daily contributions are capped at 90 minutes for progress tracking","Zone 2 cardio involves sustained, moderate-intensity aerobic exercise that keeps your heart rate within a range that maximizes fat oxidation and mitochondrial efficiency. Training in this zone improves metabolic flexibility, insulin sensitivity, and cardiovascular resilience. It's foundational for longevity, endurance, and energy metabolism. You should be able to maintain conversation, but feel like you’re working.",recBv7jvDZq4Bz29k,recorhKdkLw48IZuk,90,buildup,2,180,7,rec0rZ7bwDGvhJLxh,minutes,reck6MaFW6OOx5SJ2,Incorporate Zone 2 Cardio for Mitochondrial and Cardiovascular Health,Time of Day,recv2GuhbmM9UdNDp
recS5wr4kR0qg19NC,Servings,recZBMdCzE5sRxqOQ,REC0006.1-PROPORTIONAL,Proportional Achievement - dietary_protein,2025-09-23T00:42:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",PROPORTIONAL,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:42:59.000Z,Include at least 2 servings of protein throughout each day.,"Protein is essential for building and maintaining lean muscle, supporting metabolic health, and promoting satiety. Regularly including high-quality protein sources in your meals enhances recovery, supports healthy aging, and helps maintain energy and body composition.",recQmrpQIhvgDAJFf,recz1mxoq56v7ye7j,,buildup,7,2,7,recI4eTx41D0cwi8S,serving,reck6MaFW6OOx5SJ2,Increase Protein Intake,Servings,recZBMdCzE5sRxqOQ
recxbkwDRKiuHfo9g,Servings,recZBMdCzE5sRxqOQ,REC0006.2-PROPORTIONAL,Proportional Achievement - dietary_protein,2025-09-23T00:42:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",PROPORTIONAL,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:42:59.000Z,"Include a protein serving at every main meal (breakfast, lunch, and dinner)","Protein is essential for building and maintaining lean muscle, supporting metabolic health, and promoting satiety. Regularly including high-quality protein sources in your meals enhances recovery, supports healthy aging, and helps maintain energy and body composition.",reci47ujle6esrsBD,recz1mxoq56v7ye7j,,buildup,7,3,7,recI4eTx41D0cwi8S,serving,reck6MaFW6OOx5SJ2,Increase Protein Intake,Servings,recZBMdCzE5sRxqOQ
