record_id,category,created,created_by,description,display_name,id,last_modified_by,last_modified_time,score,sort_order,source_metrics,sub-category
recEwEXMuP4pbLFUR,caffeine_sources,2025-09-12T17:45:12.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Brewed coffee, espresso, or coffee-based drinks",Coffee,coffee,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:46:47.000Z,1,1,recqYBPNLursRtRjA,
recDwnhwptm8rOlM7,caffeine_sources,2025-09-12T17:45:16.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Black tea, green tea, white tea, or oolong tea",Tea,tea,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-25T13:15:38.000Z,1,2,recqYBPNLursRtRjA,
rec9iHRzM5w4kmcFb,caffeine_sources,2025-09-12T17:45:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Caffeinated sodas and soft drinks,Soda/Soft Drinks,soda,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:46:49.000Z,0.3,3,recqYBPNLursRtRjA,
recGIkl68qxurKDAh,caffeine_sources,2025-09-12T17:45:26.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Energy drinks and energy shots,Energy Drinks,energy_drink,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:46:49.000Z,0.2,4,recqYBPNLursRtRjA,
rec8WwA5heLfUNNNz,caffeine_sources,2025-09-12T17:45:30.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Pre-workout powders and supplements,Pre-Workout Supplements,pre_workout,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:46:49.000Z,0.4,5,recqYBPNLursRtRjA,
reckEcnAigDz32NLP,caffeine_sources,2025-09-12T17:46:18.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Dark chocolate, milk chocolate, or cocoa products",Chocolate,chocolate,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:47:15.000Z,0.8,6,recqYBPNLursRtRjA,
recSERNkjrfQni1GL,caffeine_sources,2025-09-12T17:46:22.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Caffeine pills or other caffeine supplements,Caffeine Supplements,supplements,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:47:18.000Z,0.5,7,recqYBPNLursRtRjA,
recMuqzcPv9HKv3Mv,fruit_sources,2025-09-12T17:45:35.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Blueberries, strawberries, raspberries, blackberries",Berries,berries,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:46:53.000Z,1,1,rec89pI1KfH6tF8Yo,
recfBhGLscLfx7UZh,fruit_sources,2025-09-12T17:45:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Oranges, lemons, limes, grapefruits, tangerines",Citrus Fruits,citrus,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:46:56.000Z,0.9,2,rec89pI1KfH6tF8Yo,
recPtswu1akd3vSQl,fruit_sources,2025-09-12T17:46:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Apples, pears, and similar pome fruits",Apples & Pears,apples_pears,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:47:23.000Z,0.8,3,rec89pI1KfH6tF8Yo,
